born,district,icpsr,n_au,n_bills,n_co,na,nyears,party,sex,state,thomas,vertex.names,node_id
1951,5,29901,17,366,349,FALSE,16,DEM,M,CA,01593,Mike Michael Thompson,307
1963,4,21136,16,266,250,FALSE,4,REP,M,KS,02022,Mike Pompeo,308
1958,5,20954,17,399,382,FALSE,6,DEM,M,IL,01967,Mike Quigley,309
1958,3,20301,2,159,157,FALSE,12,REP,M,AL,01704,Mike Rogers,310
1962,45,NA,6,157,151,FALSE,0,REP,F,CA,02232,Mimi Walters,311
1954,5,21193,8,294,286,FALSE,4,REP,M,AL,01987,Mo Brooks,312
1940,12,15448,1,54,53,FALSE,28,DEM,F,CA,00905,Nancy Pelosi,313
1946,3,20754,5,336,331,FALSE,8,DEM,F,MA,01884,Niki S. Tsongas,314
1937,17,15612,14,247,233,FALSE,26,DEM,F,NY,00709,Nita M. Lowey,315
1965,35,NA,5,203,198,FALSE,0,DEM,F,CA,02231,Norma Torres,316
1953,7,29378,9,249,240,FALSE,22,DEM,F,NY,01184,Nydia M. Velázquez,317
1962,12,20130,24,237,213,FALSE,14,REP,M,OH,01664,Patrick J. Tiberi,318
1955,7,21168,18,266,248,FALSE,4,REP,M,PA,02052,Patrick Meehan,319
1983,18,21319,16,382,366,FALSE,2,DEM,M,FL,02117,Patrick Murphy,320
1975,10,20522,10,120,110,FALSE,10,REP,M,NC,01792,Patrick T. McHenry,321
1958,4,21103,37,420,383,FALSE,4,REP,M,AZ,01992,Paul A. Gosar,322
1943,8,21305,9,278,269,FALSE,2,REP,M,CA,02103,Paul Cook,323
1970,1,29939,8,42,34,FALSE,16,REP,M,WI,01560,Paul D. Ryan,324
1949,20,20934,7,432,425,FALSE,6,DEM,M,NY,01942,Paul Tonko,325
1959,0,NA,10,152,142,FALSE,4,DEM,M,PR,01953,Pedro R. Pierluisi,326
1955,32,29759,13,390,377,FALSE,18,REP,M,TX,01525,Pete A. Sessions,327
1979,31,NA,3,228,225,FALSE,0,DEM,M,CA,02229,Pete Aguilar,328
1962,22,20948,18,417,399,FALSE,6,REP,M,TX,01955,Pete Olson,329
1947,4,15410,19,402,383,FALSE,28,DEM,M,OR,00279,Peter A. DeFazio,330
1961,6,20715,25,239,214,FALSE,8,REP,M,IL,01848,Peter J. Roskam,331
1949,1,15124,1,120,119,FALSE,30,DEM,M,IN,01188,Peter J. Visclosky,332
1944,2,29375,25,382,357,FALSE,22,REP,M,NY,00635,Peter T. King,333
1947,0,20750,13,466,453,FALSE,8,DEM,M,VT,01879,Peter Welch,334
1954,5,NA,12,264,252,FALSE,0,REP,M,LA,02244,Ralph Abraham,335
1966,14,21129,13,220,207,FALSE,4,REP,M,IL,02015,Randy Hultgren,336
1953,14,21360,11,352,341,FALSE,2,REP,M,TX,02161,Randy K. Weber,337
1949,19,20353,11,223,212,FALSE,12,REP,M,TX,01758,Randy Neugebauer,338
1948,3,20305,30,824,794,FALSE,12,DEM,M,AZ,01708,Raúl M. Grijalva,339
1967,1,21125,6,122,116,FALSE,4,REP,M,ID,02011,Raúl R. Labrador,340
1972,36,21311,14,239,225,FALSE,2,DEM,M,CA,02109,Raul Ruiz,341
1956,8,21190,10,358,348,FALSE,4,REP,M,WI,02073,Reid J. Ribble,342
1964,2,21159,22,281,259,FALSE,4,REP,F,NC,02036,Renee L. Ellmers,343
1951,11,21115,6,214,208,FALSE,4,REP,M,FL,02001,Richard B. Nugent,344
1949,1,15616,6,230,224,FALSE,26,DEM,M,MA,00854,Richard E. Neal,345
1971,8,21346,6,229,223,FALSE,2,REP,M,NC,02140,Richard Hudson,346
1951,22,21157,12,340,328,FALSE,4,REP,M,NY,02044,Richard L. Hanna,347
1943,8,14263,8,367,359,FALSE,40,DEM,M,MN,00867,Richard M. Nolan,348
1951,12,NA,2,261,259,FALSE,0,REP,M,GA,02239,Rick Allen,349
1965,2,20145,10,256,246,FALSE,14,DEM,M,WA,01675,Rick Larsen,350
1951,1,20357,9,190,181,FALSE,12,REP,M,UT,01753,Rob Bishop,351
1970,7,21122,5,91,86,FALSE,4,REP,M,GA,02008,Rob Woodall,352
1945,1,29777,4,330,326,FALSE,17,DEM,M,PA,01469,Robert Alan Brady,353
1965,4,29701,3,126,123,FALSE,18,REP,M,AL,01460,Robert B. Aderholt,354
1947,3,39307,16,315,299,FALSE,22,DEM,M,VA,01037,Robert C. Scott,355
1956,5,20755,23,261,238,FALSE,8,REP,M,OH,01885,Robert E. Latta,356
1969,5,21186,7,117,110,FALSE,4,REP,M,VA,02069,Robert Hurt,357
1959,1,20756,15,265,250,FALSE,8,REP,M,VA,01886,Robert J. Wittman,358
1948,9,21347,8,314,306,FALSE,2,REP,M,NC,02141,Robert Pittenger,359
1956,2,21371,13,301,288,FALSE,2,DEM,F,IL,02190,Robin Kelly,360
1955,1,NA,10,248,238,FALSE,0,REP,M,IA,02241,Rod Blum,361
1970,13,21328,18,347,329,FALSE,2,REP,M,IL,02126,Rodney Davis,362
1946,11,29541,2,143,141,FALSE,20,REP,M,NJ,00414,Rodney P. Frelinghuysen,363
1949,25,21364,14,204,190,FALSE,2,REP,M,TX,02165,Roger Williams,364
1978,6,21318,13,180,167,FALSE,2,REP,M,FL,02116,Ron DeSantis,365
1963,3,29769,23,399,376,FALSE,18,DEM,M,WI,01498,Ron James Kind,366
1943,3,29109,43,389,346,FALSE,24,DEM,F,CT,00281,Rosa L. DeLauro,367
1940,15,29763,10,320,310,FALSE,18,DEM,M,TX,01490,Rubén E. Hinojosa,368
1979,7,NA,9,263,254,FALSE,0,DEM,M,AZ,02226,Ruben Gallego,369
1976,6,NA,6,342,336,FALSE,0,REP,M,PA,02266,Ryan Costello,370
1961,0,NA,11,329,318,FALSE,0,REP,M,MT,02254,Ryan Zinke,371
1963,6,20124,15,212,197,FALSE,14,REP,M,MO,01656,Sam B. Graves,372
1941,20,29313,4,376,372,FALSE,22,DEM,M,CA,00368,Sam Farr,373
1930,3,29143,29,241,212,FALSE,24,REP,M,TX,00603,Sam Robert Johnson,374
1931,9,15033,9,298,289,FALSE,32,DEM,M,MI,00683,Sander M. Levin,375
1947,2,29339,4,278,274,FALSE,22,DEM,M,GA,00091,Sanford D. Bishop Jr.,376
1964,4,21179,6,277,271,FALSE,4,REP,M,TN,02062,Scott DesJarlais,377
1959,5,20336,15,112,97,FALSE,12,REP,M,NJ,01737,Scott Garrett,378
1958,52,21315,25,545,520,FALSE,2,DEM,M,CA,02113,Scott H. Peters,379
1962,4,21356,11,181,170,FALSE,2,REP,M,PA,02157,Scott Perry,380
1956,3,21111,8,264,256,FALSE,4,REP,M,CO,01997,Scott R. Tipton,381
1971,7,21189,26,182,156,FALSE,4,REP,M,WI,02072,Sean P. Duffy,382
1966,18,21344,17,337,320,FALSE,2,DEM,M,NY,02150,Sean Patrick Maloney,383
1978,6,NA,9,257,248,FALSE,0,DEM,M,MA,02246,Seth Moulton,384
1950,18,29573,40,603,563,FALSE,20,DEM,F,TX,00588,Sheila Jackson Lee,385
1964,0,NA,5,153,148,FALSE,0,DEM,F,VI,02274,Stacey Plaskett,386
1939,5,14873,3,85,82,FALSE,34,DEM,M,MD,00566,Steny H. Hoyer,387
1955,8,20119,15,281,266,FALSE,14,DEM,M,MA,01686,Stephen F. Lynch,388
